,unit
hk02011,2000
hk01396,2000
hk08112,4800
hk08198,4000
hk01143,4000
hk00886,3000
hk00559,10000
hk00901,20000
hk08292,10000
hk00582,5000
hk08147,4000
hk00264,4000
hk00928,4000
hk08126,4000
hk00993,1000
hk00758,2000
hk01178,10000
hk01420,4000
hk00557,2000
hk00065,4000
hk00200,1000
hk00309,1000
hk01269,2000
hk01718,5000
hk00243,9000
hk00413,8000
hk08409,10000
hk08055,8000
hk08156,5000
hk00721,10000
hk03963,1000
hk00589,500
hk00650,2000
hk08187,5000
hk08035,10000
hk00102,2000
hk01575,2000
hk08100,6000
hk06880,2000
hk01470,4000
hk00231,20000
hk00130,2000
hk02298,1000
hk08085,4000
hk01360,5000
hk02340,4000
hk01738,2500
hk08165,10000
hk01682,4000
hk00146,1000
hk00623,1000
hk02283,2000
hk00768,2000
hk01102,2000
hk00952,10000
hk01094,4000
hk00515,2000
hk01856,1000
hk00201,2000
hk01580,5000
hk00834,4000
hk01803,2500
hk01667,10000
hk00980,1000
hk00565,5000
hk08356,10000
hk08233,4000
hk08047,4000
hk00841,2000
hk00869,4000
hk00990,10000
hk02133,1000
hk01263,2000
hk00600,2000
hk00180,2000
hk00216,4000
hk08037,20000
hk08300,20000
hk03606,400
hk00027,1000
hk00725,2000
hk00677,2000
hk00352,2000
hk02398,2000
hk00245,10000
hk03968,500
hk00762,2000
hk00692,5000
hk00881,500
hk00506,2000
hk00699,1000
hk08279,4000
hk00064,2000
hk01194,2000
hk08167,4000
hk00970,8000
hk00084,1000
hk02299,2000
hk00316,500
hk03336,2000
hk08097,5000
hk08009,20000
hk01656,2000
hk01488,2000
hk08351,20000
hk08078,20000
hk00674,4000
hk01355,5000
hk01341,8000
hk08267,500
hk08222,4000
hk08038,2000
hk00745,10000
hk00495,5000
hk08053,20000
hk02699,2000
hk01246,20000
hk01080,1500
hk00712,2000
hk00117,2000
hk08113,10000
hk08046,4000
hk03866,500
hk00263,4000
hk08106,5000
hk08072,20000
hk01137,1000
hk00063,1000
hk08255,6000
hk08092,4000
hk00524,10000
hk00696,1000
hk01128,400
hk00583,2000
hk08312,10000
hk01439,5000
hk06816,2000
hk00658,1000
hk00911,10000
hk00061,10000
hk00160,2000
hk00733,2000
hk00866,2000
hk00402,20000
hk00503,1000
hk08307,4000
hk01889,2500
hk00040,1000
hk06858,500
hk01808,2000
hk00893,1000
hk00172,10000
hk02208,200
hk08003,2000
hk00070,10000
hk02878,2000
hk00999,2000
hk00875,20000
hk00803,20000
hk01252,1000
hk00599,4000
hk08237,2000
hk01637,2000
hk00915,1000
hk00544,20000
hk01166,20000
hk03989,2000
hk02302,1000
hk82832,100
hk01110,4000
hk01199,2000
hk00310,10000
hk01161,2000
hk00898,2000
hk08452,2000
hk08417,10000
hk03638,12000
hk01050,2000
hk00118,2000
hk01197,2000
hk01862,1000
hk00195,10000
hk00410,500
hk02098,3000
hk01275,1000
hk01169,1000
hk08268,8000
hk01536,2000
hk01430,2000
hk03737,1000
hk01142,10000
hk00420,2000
hk06818,1000
hk03106,500
hk01663,2000
hk01210,2000
hk00108,2000
hk01208,4000
hk07210,200
hk01622,2000
hk00270,2000
hk02280,2000
hk00809,2000
hk08240,10000
hk07261,100
hk01155,1000
hk00680,50000
hk02799,1000
hk03061,200
hk08270,8000
hk02832,100
hk08101,4000
hk00045,500
hk00213,2000
hk00019,500
hk01988,500
hk01310,500
hk01368,500
hk01253,4000
hk00539,2000
hk00223,2000
hk01452,1000
hk02868,2000
hk08211,10000
hk00628,2000
hk01393,1000
hk00801,4000
hk03686,10000
hk00874,2000
hk00613,2000
hk00519,5000
hk01090,2000
hk00838,2000
hk00167,2000
hk83155,100
hk03828,1000
hk03136,200
hk06823,1000
hk01583,1000
hk00467,2000
hk00144,2000
hk00043,2000
hk08413,10000
hk00686,2000
hk00595,2000
hk00221,4000
hk00120,20000
hk00378,2000
hk03903,2000
hk00997,10000
hk00637,2000
hk00575,10000
hk00326,10000
hk01908,4000
hk82843,200
hk00009,6000
hk02843,200
hk01778,1000
hk08218,4000
hk00569,1000
hk01327,2000
hk00586,500
hk00360,4000
hk00115,10000
hk06128,2000
hk00690,20000
hk00379,10000
hk00182,10000
hk00022,40000
hk08369,10000
hk01522,4000
hk01175,10000
hk00169,1000
hk00858,10000
hk03155,100
hk01222,20000
hk00585,8000
hk02327,6000
hk01305,1000
hk00943,8000
hk08130,20000
hk01588,200
hk01030,2000
hk01125,20000
hk00880,1000
hk08192,12000
hk01447,2000
hk01348,2000
hk00798,4000
hk00219,2000
hk03100,100
hk01635,1000
hk00935,2000
hk00308,2000
hk06138,1000
hk02844,200
hk01418,2000
hk00976,2000
hk08317,2000
hk01636,4000
hk08135,5000
hk01243,4000
hk01096,2000
hk00854,1000
hk00701,2000
hk00087,2500
hk03107,200
hk00247,2000
hk03799,500
hk02236,1000
hk01798,1000
hk01083,1000
hk00996,10000
hk00885,10000
hk08021,10000
hk00693,3000
hk00126,2000
hk01993,500
hk00368,500
hk00497,10000
hk00711,2000
hk08137,2000
hk03171,25
hk01556,5000
hk01123,2000
hk00333,2000
hk08163,20000
hk08027,5000
hk02822,200
hk02379,5000
hk00666,20000
hk00580,2000
hk00464,4000
hk00256,2000
hk00137,1000
hk03095,500
hk08231,10000
hk08227,4000
hk03180,200
hk02222,1000
hk01009,2000
hk00855,2000
hk83107,200
hk83095,500
hk82822,200
hk00059,2000
hk83146,100
hk02662,2000
hk02289,500
hk00088,1000
hk00289,1000
hk01888,500
hk03177,20
hk01288,1000
hk00640,4000
hk01878,50
hk00279,20000
hk00148,500
hk08416,5000
hk06168,5000
hk01105,2000
hk02320,2000
hk02309,20000
hk01313,2000
hk01234,1000
hk00346,10000
hk08086,8000
hk01928,400
hk08282,4000
hk01118,10000
hk00153,2000
hk00641,2000
hk00449,2000
hk00062,400
hk00369,2000
hk02722,2000
hk02386,500
hk02331,500
hk00529,2000
hk03085,100
hk03024,100
hk02819,100
hk00950,500
hk01003,10000
hk83128,200
hk00229,1000
hk02233,2000
hk00921,1000
hk09847,100
hk07255,200
hk03161,200
hk01811,2000
hk01573,2000
hk00581,2000
hk08296,4000
hk03086,200
hk02823,100
hk00706,10000
hk82834,100
hk02678,500
hk00226,1000
hk00090,2000
hk01300,2000
hk00868,2000
