,co_name,symbol,market,asset,co_business,cc,amplitude,pe_s_d,co_intro,exchange,mv,pb_d,ps_d,equity,industry
0,中孚信息,300659,SZ,4.36,-,-,-,-/-,"    2002年3月12日,公司前身山东中孚信息技术有限公司成立。
    2007年9月20日,中孚有限整体变更为股份有限公司,公司更名为山东中孚信息产业股份有限公司。
    2015年12月3日,公司名称由山东中孚信息产业股份有限公司变更为中孚信息股份有限公司。",SZ,-,-,-,6120.00万,-
1,华北制药,600812,SH,3.27,-,16.31亿,3.59%,169.33/170.55,"    华北制药股份有限公司是由原华北制药厂(现华北制药集团有限责任公司)投入其全部生产经营性资产,并经募股于1992年8月组建的股份有限公司。
    1994年1月14日,公司股票在上海证券交易所挂牌上市。",SH,92.14亿,1.73,1.12,16.31亿,-
2,南纺股份,600250,SH,1.05,-,2.59亿,4.26%,161.76/161.76,"    南京纺织品进出口股份有限公司是原南京市纺织品进出口公司,是于1988年经国家外经贸部批准的专业性外贸公司,1994年5月经南京市经济体制改革委员会宁体改字(1994)277号文批准,公司在整体改制的基础上以定向募集方式设立股份有限公司。
    公司2001年经中国证监会证监发行字[2001]7号文核准于2001年2月5日公开发行人民币普通股5500万股,经上海证券交易所上证上字(2001)26号文同意,于2001年3月6日在该所挂牌上市交易。",SH,27.81亿,10.29,3.50,2.59亿,商业贸易
3,鲁丰环保,002379,SZ,1.33,-,5.94亿,10.41%,479.22/163.76,"    本公司前身为山东鲁丰铝箔工业有限公司,设立于2000年8月11日。2007年8月17日,经鲁丰工业股东会决议,鲁丰工业全体股东作为发起人,以其持有的鲁丰工业股权所对应的经大信所审计的截至2007年3月31日鲁丰工业净资产76,834,409.79元中的48,000,000元作为出资,按照1:1的比例折为公司股本,其余28,834,409.79元转入资本公积,整体变更设立股份有限公司。2007年9月2日,公司召开创立大会。2007年9月17日,公司在山东省滨州市工商行政管理局完成注册登记变更,并领取<企业法人营业执照>,注册号3716002801111。
    2014年1月21日,公司名称由""山东鲁丰铝箔股份有限公司""变更为""鲁丰环保科技股份有限公司""。英文名称由""Shandong Loften Aluminium Foil Co.,Ltd.""变更为""Loften Environmental Technology Co.,Ltd.""。",SZ,67.81亿,5.51,6.59,9.26亿,有色金属
4,亿晶光电,600537,SH,2.59,-,11.76亿,3.99%,16.64/21.72,"    公司的前身为浙江海通食品集团有限公司。根据宁波市人民政府甬政发[2000]227号<关于同意设立浙江海通食品集团股份有限公司的批复>批准,浙江海通食品集团有限公司于2000年11月8日整体变更为股份有限公司即本公司。并由宁波市工商行政管理局向本公司核发了<企业法人营业执照>。经宁波市工商行政管理局2004年1月14日正式核准,公司的中文名称由""浙江海通食品集团股份有限公司""变更为""海通食品集团股份有限公司""。公司的境内上市普通股A股于2003年在上海证券交易所上市。
    2011年12月27日,公司名称由""海通食品集团股份有限公司""变更为""亿晶光电科技股份有限公司""。公司英文名称由""Haitong Food Group Co.,Ltd.""变更为""EGing Photovoltaic Technology Co.,Ltd.""。",SH,59.76亿,1.97,1.24,11.76亿,电气设备
5,晶瑞股份,300655,SZ,4.74,从事微电子化学品的产品研发、生产和销售。,2206.25万,-,34.55/34.55,"    2001年11月29日,公司前身苏州晶瑞化学有限公司成立。
    2015年6月19日,公司名称由苏州晶瑞化学有限公司变更为苏州晶瑞化学股份有限公司。",SZ,11.71亿,2.80,2.42,8824.99万,-
6,盾安环境,002011,SZ,4.89,-,8.39亿,9.57%,132.15/119.03,"    公司是经浙江省人民政府企业上市工作领导小组浙上市[2001]99号文批准,由浙江盾安三尚机电有限公司于2001年12月19日整体变更设立的股份有限公司。经中国证券监督管理委员会2004年6月3日证监发行字[2004]79号文<关于核准浙江盾安人工环境设备股份有限公司公开发行股票的通知>核准,本公司于2004年6月16日在深圳证券交易所向社会公众发行2,800万股人民币普通股股票。浙江省工商行政管理局于近日核准了公司名称变更手续,公司名称由""浙江盾安人工环境设备股份有限公司""变更为""浙江盾安人工环境股份有限公司"",相应的英文名称变更为""ZHEJIANG DUN′AN ARTIFICIAL ENVIRONMENT CO.,LTD""。",SZ,109.70亿,2.44,1.56,9.17亿,家用电器
7,万通智控,300643,SZ,1.92,-,5000.00万,10.85%,109.55/109.55,"    1993年12月25日,公司前身杭州万通气门嘴有限公司在杭州市工商局注册成立。
    2015年5月28日,杭州万通气门嘴有限公司整体变更为万通智控科技股份有限公司。",SZ,42.80亿,11.14,12.05,2.00亿,-
8,东华科技,002140,SZ,4.62,-,4.40亿,7.22%,64.94/62.32,"本公司系经原国家经济贸易委员会2001年6月5日国经贸企改〔2001〕538号文《关于同意设立东华工程科技股份有限公司的批复》批准，由化三院联合中成股份、环科院、省技术投资和淮化集团作为发起人，以发起方式设立的股份有限公司，注册资本为5,021.24万元。东华工程科技股份有限公司于2000年12月25日取得国家工商行政管理局（国）名称预核内字（2000）第995号《企业名称预先核准通知书》，经国家工商行政管理局认可，该名称预先核准通知书保留期至2001年8月25日。经国家工商行政管理局2001年7月11日企内字（2001）0046号《授权办理企业登记函》授权，东华工程科技股份有限公司于2001年7月18日取得了由安徽省工商行政管理局颁发的注册号为3400001300214的企业法人营业执照。",SZ,53.12亿,2.58,3.26,4.46亿,建筑装饰
9,海鸥股份,603269,SH,6.50,-,2287.00万,-,49.47/49.47,-,SH,18.59亿,3.13,3.09,9147.00万,-
