,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
0,盛良物流,08292,HK,0.12,-,-,-,-,-,8.00亿,HK,8.64亿,-,9.14,8.00亿,5.34,电子商贸及互联网服务,1.78%,-,-
1,海天天线控股,08227,HK,-,-,-,-,"    西安海天天线科技股份有限公司(简称“海天天线”),成立于1999年10月,是集移动通信基站天线、TD-SCDMA系统设备的研发、生产、销售、整体解决方案、工程服务为一体的专业化、集团化的高科技中外合资股份制上市公司。
    海天天线走专业化、集团化发展的道路,相继投资设立了西安海天通信系统工程有限公司、西安海泰科通讯设备有限公司两个控股公司,公司均设在国家级高新技术开发区,共占地220亩,拥有员工600余名。",-,-,HK,-,-,-,-,-,电讯及网络器材,-,-,-
2,威雅利,00854,HK,7.42,-,-,-,"    威雅利电子(集团)有限公司于1981年成立,于2001年在新加坡交易所主板成功上市。30多年来集团业务发展迅速,己成为一家领先的电子元器件经销商,与超过20家享负盛名的供货商建立了长远的合作关系,经销的产品项目超过一万种。集团紧随全球市场发展趋势,在香港总部以外的大中华地区也相继设立办事处。",-,7550.60万,HK,2.31亿,-,0.41,7550.60万,0.06,-,0.02%,-,-
3,大森控股,01580,HK,0.44,-,-,-,"    大森控股集团有限公司(股票代码:1580HK)主要从事胶合板产品及木制生物质颗粒的制造及销售。我们的起源可追溯至二零一一年二月,彼时我们在中国的主要运营附属公司美森(山东)由美森(香港)收购以生产胶合板。我们于二零一三年三月通过我们在中国的另一家主要运营附属公司大森(菏泽)(由大森(香港)全资拥有)开始生产木制生物质颗粒。",-,7.47亿,HK,19.35亿,32.6762,5.87,7.47亿,3.53,-,1.37%,-,-
4,联华超市,00980,HK,2.46,-,-,-,"    联华超市股份有限公司於一九九一年起在上海开展业务,於十九余年间,以直接经营、加盟经营和并购方式发展成为一家具备全国网点布局、业态最齐全的零售连锁超市公司。於二零零九年底,总门店数目已经达到4,930家,遍布全国22个省份及直辖市,继续保持中国快速消费品连锁零售行业的领先地位。联华超市於二零零三年六月二十七日以H股形式在香港联合交易所有限公司上市,是首家於联交所上市的中国零售连锁超市公司。",-,3.73亿,HK,34.15亿,-,1.24,11.20亿,0.11,其他零售,0.28%,-,-
5,中天国际,02379,HK,-,-,-,-,"    中天资讯技术有限公司是中天国际控股有限公司的全资附属企业,国内知名的基於自主中间件软体技术,面向行业核心应用软体系统开发和整体解决方案设计及谘询服务提供的厂商之一,国家资讯产业部电脑资讯系统集成一级资质企业、国家重点高新技术企业、国家火炬计画软体产业基地骨干企业和山东省十大优秀软体企业。",-,-,HK,-,-,-,-,-,软件及资讯科技顾问,-,-,-
6,中国恒大,03333,HK,3.83,-,-,-,"    恒大地产集团是一家在香港联交所主板上市、集房地产规划设计、开发建设、物业管理于一体的现代化国际企业集团,股东遍布亚洲、欧洲和美洲,包括郑裕彤、美林、高盛等39家全球战略股东。目前恒大在中国拥有员工15000余名,92%以上工程技术及管理人员为大学本科以上学历,拥有中国一级资质的房地产开发公司、中国甲级资质的建筑设计研究院、中国一级资质的建筑施工公司、中国甲级资质的建筑监理公司、中国一级资质的物业管理公司。",-,130.51亿,HK,1563.46亿,27.2738,3.13,130.51亿,0.67,-,1.08%,-,-
7,罗马集团,08072,HK,0.09,-,-,-,"本集团主要以「罗马」品牌在香港从事提供评供及技术顾问服务,主要客户均为在联交所上市的公司。本集团向客户提供多样化服务,包括天然资源评估及技术顾问服务;及多种专门评估及顾问服务,包括商业及无形资产评估、金融工具评估、房地产评估、艺术品评估、工业评估、购买价格分摊及企业顾问。",-,50.00亿,HK,1.70亿,4.5097,0.36,50.00亿,2.05,-,0.19%,-,-
8,百德国际,02668,HK,0.10,-,-,-,"    百德国际有限公司在亚洲针织衣物、棉绒服装及运动服装生产行业居领导地位。自1965年成立,百德的产品销售遍及世界各地,客户包括许多国际知名的品牌。集团拥有专门生产的衣物、精於研究和制造针织、人工刺绣、珠片等手工艺,使公司在行业内有良好声誉。超过十个生产厂房,设於中国境内的多个经济主要地区,总面积逾一百五十万平方米,具规模的运作模式,使集团可大大节省成本开支。",-,14.15亿,HK,4.67亿,-,3.44,14.15亿,1.52,纺织及成衣,0.01%,-,-
9,新濠环彩,08198,HK,0.13,-,-,-,"    香港上市公司新濠环彩有限公司 (香港交易所编号8198) 是亚洲领先的彩票业务营运者。公司业务主要为中国及其他亚洲地区的彩票业务,研发及提供与彩票营运相关之科技系统和服务。新濠环彩有限公司旨在成为亚洲区领先的彩票服务公司,并将引入最先进的科技及发展致胜的合作伙伴网络。",-,31.46亿,HK,11.80亿,-,2.92,31.46亿,31.16,赌场与赌博,2.33%,-,-
