,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
0,JASON INDS INC,JASNW,US,-,-,13.86%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
1,TROVAGENE INC,TROVW,US,-,-,4.90%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
2,Cerecor Inc,CERCW,US,-,-,36.75%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
3,ObsEva SA Ordinary Shares,OBSV,US,1.55,-,4.56%,-/-,-,0.33,-,-,NASDAQ,-,2.53亿,2963.10万,-,0.04%,-,5.52
4,PAVmed Inc. Warrant,PAVMW,US,-0.02,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-99.00
5,"Protagonist Therapeutics, Inc. Common Stock",PTGX,US,4.45,-,11.36%,-/-,-,5.42,-,-,NASDAQ,-,1.66亿,1685.60万,-,0.12%,-,2.22
6,"Soleno Therapeutics, Inc. Series A Warrant",SLNOW,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
7,博润,BORN,US,10.54,http://www.chinanewborun.com,9.32%,3.38/2.30,"中国新博润集团（“博润”）是一家中国领先的食用酒精生产销售商；始建于2000年12月，于2004年正式涉足于食用酒精行业。博润拥有坐落于山东省寿光市和黑龙江省大庆市的两家工厂。山东工厂占地面积102,909.28平方米，员工474人，拥有年食用酒精生产能力16万吨；大庆工厂占地面积219,156平方米，员工388人，拥有年食用酒精设计产能33万吨。
博润产品包括食用酒精以及在酒精生产过程中加工出的副产品DDGS饲料、胚芽以及液态二氧化碳。博润于2010年6月11日在美国纽约证券交易上市，首次发行570万股，每股7美元。1ADS=1普通股",12.04,S1/F1,0536-5451199,NYSE,山东省寿光市渤海工业园南首（羊口镇以南）,3138.45万,2572.50万,中国食品、饮料与烟草,0.53%,2.00%,0.12
8,Liniu Technology Group,LINU,US,0.03,-,13.72%,-/-,-,-,-,-,NASDAQ,-,1348.88万,7493.80万,-,0.04%,-,6.00
9,NXT ID INC,NXTDW,US,-,-,25.60%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
10,Atwood Oceanics,ATW,US,42.24,-,5.04%,4.80/6.56,-,6.72,-,-,NYSE,-,7.03亿,8051.90万,油气/钻孔与探测,3.48%,87.59%,0.21
11,"Xtant Medical Holdings, Inc.",XTNT,US,-0.65,-,10.49%,-/-,-,1.69,-,-,AMEX,-,814.17万,1809.30万,-,1.18%,10.00%,-0.69
12,恐慌指数(9天),VXST,US,-,-,-,-/-,-,-,-,-,INDEXCBOE,-,-,-,-,-,-,-
13,RTG,RTG,US,-,-,-,-/1.56,-,-,-,-,LON,-,211.00万,-,-,-,-,-
14,CHANTICLEER HLDGS INC,HOTRW,US,-,-,11.52%,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
15,Xactly Corporation,XTLY,US,0.16,-,1.15%,-/-,-,6.58,-,-,NYSE,-,4.19亿,3199.40万,-,0.37%,63.00%,81.88
16,Celyad SA,CYAD,US,10.65,-,4.65%,-/-,-,1.81,-,-,NASDAQ,-,3.87亿,952.10万,-,0.05%,-,3.95
17,LILIS ENERGY INC,LLEX,US,-0.16,-,10.44%,-/-,-,1.14,-,-,NASDAQ,-,2.15亿,4994.00万,-,0.34%,8.00%,-26.94
18,麦克拉奇报业,MNI,US,2.86,-,4.19%,-/-,-,31.66,-,-,NYSE,-,4577.53万,517.80万,出版业/报纸,0.33%,47.34%,3.09
19,INSPIREMD INC,NSPR,US,1.13,-,5.25%,-/2.14,-,0.41,-,-,AMEX,-,413.40万,742.20万,-,0.43%,23.00%,0.49
20,天然气3X空-VelocityShares,DGAZ,US,-,-,5.41%,-/-,"DGAZ,VelocityShares旗下的天然气三倍做空ETF，该ETF旨在反向追踪S&P GSCI Natural Gas  Excess 指数，自带三倍杠杆，即S&P GSCI Natural Gas  Excess 指数下跌1%对应该ETF指数上涨约3%。更多资料可查询：https://www.etf.com/DGAZ",-,-,-,NYSE,-,2.17亿,1000.00万,-,57.42%,-,-
